team,attack,defense,mu
Algeria,1.1963595196388201,1.0661650212870109,1.2285133614829917
Argentina,1.4595867057129066,0.5947230693017882,1.2285133614829917
Australia,0.8683192423720549,1.0439370745847054,1.2285133614829917
Austria,1.2486911272558094,0.8932561650678753,1.2285133614829917
Belgium,1.539771579384168,0.7739227838807815,1.2285133614829917
Bosnia and Herzegovina,0.8959581761431561,1.1130738132709996,1.2285133614829917
Brazil,1.698506326840061,0.6205911842084638,1.2285133614829917
Cabo Verde,0.7560073158081705,1.0175437643385923,1.2285133614829917
Canada,0.9365422941673935,1.0188858424998637,1.2285133614829917
Colombia,1.2133613200275886,0.7044286839037585,1.2285133614829917
Croatia,1.2662500464384203,0.9844030927792616,1.2285133614829917
Curaçao,0.6966410956145026,1.7934812730378251,1.2285133614829917
Czechia,0.7788021914078471,1.1423098858395868,1.2285133614829917
Côte d'Ivoire,0.9659758876944903,0.878365907047391,1.2285133614829917
DR Congo,0.8855594029562204,1.1790536906845612,1.2285133614829917
Ecuador,0.9577487086039731,0.8562825923120657,1.2285133614829917
Egypt,0.8645157637304755,0.9458455610422616,1.2285133614829917
England,1.3611538239320409,0.6797319586504614,1.2285133614829917
France,1.6108781208292133,0.6525374259155317,1.2285133614829917
Germany,1.683398723165102,0.9675617403684965,1.2285133614829917
Ghana,0.8724260136443955,1.0537266475646105,1.2285133614829917
Haiti,0.7160249802047871,1.61540578480002,1.2285133614829917
IR Iran,0.7647236129723447,0.9004879311357592,1.2285133614829917
Iraq,0.5556628579552798,1.3460855347682446,1.2285133614829917
Japan,1.3106358988234583,0.9891728344463074,1.2285133614829917
Jordan,0.7333143782870163,1.5855778404498047,1.2285133614829917
Korea Republic,0.9437480882381915,1.1292376619988604,1.2285133614829917
Mexico,1.1149443677828001,0.9119536174134824,1.2285133614829917
Morocco,1.0508890446498258,0.6864499437195165,1.2285133614829917
Netherlands,1.612973029461937,0.8648907626243658,1.2285133614829917
New Zealand,0.683093082326173,1.6320278557010426,1.2285133614829917
Norway,1.149435416224748,1.2783434191502163,1.2285133614829917
Panama,0.5921766884263986,1.4575823490449709,1.2285133614829917
Paraguay,0.8294830502355782,0.9961906005559902,1.2285133614829917
Portugal,1.436095416787264,0.6594787671637671,1.2285133614829917
Qatar,0.7962824424588166,1.4817044859926203,1.2285133614829917
Saudi Arabia,0.6077525332624292,1.0902751454900788,1.2285133614829917
Scotland,0.8275370359204473,1.1314642168494227,1.2285133614829917
Senegal,1.0804583604261784,0.9163238997574485,1.2285133614829917
South Africa,0.6931251675653382,0.9946755256134457,1.2285133614829917
Spain,1.5634485494672088,0.6947809411076883,1.2285133614829917
Sweden,1.0904077296787509,1.0922210314121583,1.2285133614829917
Switzerland,1.3162693529630531,0.9541460334830582,1.2285133614829917
Tunisia,0.835026620917348,1.0308481564694236,1.2285133614829917
Türkiye,1.1752534886918409,1.1466870990677476,1.2285133614829917
United States,1.1053408927327137,0.9467394508234768,1.2285133614829917
Uruguay,1.1754049353067066,0.7837520769308005,1.2285133614829917
Uzbekistan,0.6754907408181005,1.426773289897945,1.2285133614829917
