team,attack,defense,mu
Algeria,1.2324994495814312,1.0181417341639296,1.2123329176750077
Argentina,1.3989344718957442,0.6030071994279962,1.2123329176750077
Australia,0.9094411813457157,1.1092666567487608,1.2123329176750077
Austria,1.2071808180092625,0.8513108390063862,1.2123329176750077
Belgium,1.5514930319008697,0.7708141057108217,1.2123329176750077
Bosnia and Herzegovina,0.8890312308942597,1.1139217379935147,1.2123329176750077
Brazil,1.6557408666768159,0.6515310561921638,1.2123329176750077
Cabo Verde,0.7659083546600659,1.1658562356004727,1.2123329176750077
Canada,0.8801771225408749,1.1294459144480622,1.2123329176750077
Colombia,1.2386262298054345,0.7214804521504521,1.2123329176750077
Croatia,1.3016764740975244,0.9725103220879854,1.2123329176750077
Curaçao,0.6950715379566242,1.7403971443438886,1.2123329176750077
Czechia,0.8098386478367301,1.0790405122597888,1.2123329176750077
Côte d'Ivoire,1.00217956308332,0.9377183737066723,1.2123329176750077
DR Congo,0.8656572593871239,1.2847739169418497,1.2123329176750077
Ecuador,0.9969009172311357,0.8675256218092237,1.2123329176750077
Egypt,0.8344611850676636,0.9495744718819839,1.2123329176750077
England,1.403513984245722,0.6964426185612465,1.2123329176750077
France,1.5914220498749376,0.6453452616878269,1.2123329176750077
Germany,1.6753777020680698,0.9291492378035375,1.2123329176750077
Ghana,0.9434885663478643,1.1531400993742902,1.2123329176750077
Haiti,0.6584059031270841,1.7095713681653062,1.2123329176750077
IR Iran,0.8175685523428622,0.9470065610078683,1.2123329176750077
Iraq,0.5848699509081399,1.1990254455290927,1.2123329176750077
Japan,1.2648579216753302,1.0217710693606652,1.2123329176750077
Jordan,0.7593035077028653,1.5269486386715105,1.2123329176750077
Korea Republic,0.9932928094800458,1.1180781897889134,1.2123329176750077
Mexico,1.0693428650871732,0.9466986325218582,1.2123329176750077
Morocco,0.9843778796833477,0.6601256586815565,1.2123329176750077
Netherlands,1.6020738243901944,0.8539459019215995,1.2123329176750077
New Zealand,0.610001939672179,1.4869422463791613,1.2123329176750077
Norway,1.031136113464416,1.2756924803140937,1.2123329176750077
Panama,0.6377451059844458,1.573780955752801,1.2123329176750077
Paraguay,0.8583744111993366,0.9818664450582557,1.2123329176750077
Portugal,1.49928121695437,0.6945916346492041,1.2123329176750077
Qatar,0.8361489933671988,1.3878711309324707,1.2123329176750077
Saudi Arabia,0.6406457256018069,1.0742016679359092,1.2123329176750077
Scotland,0.9036187764108293,1.1411999119777403,1.2123329176750077
Senegal,0.9645298173727772,0.8600974346452441,1.2123329176750077
South Africa,0.6764141499780548,1.006641529236053,1.2123329176750077
Spain,1.653212662775299,0.7568420096784606,1.2123329176750077
Sweden,0.9916453907772235,1.0332052874810347,1.2123329176750077
Switzerland,1.283865360072634,0.9697440935763643,1.2123329176750077
Tunisia,0.8610059948361992,0.8985257755616404,1.2123329176750077
Türkiye,1.2294949308972078,1.128820934522952,1.2123329176750077
United States,0.9857869314606896,0.9269763447209883,1.2123329176750077
Uruguay,1.1719645487875436,0.765708567780483,1.2123329176750077
Uzbekistan,0.6980924375519949,1.2566809074918992,1.2123329176750077
