date,home_team,away_team,home_elo_before,away_elo_before,outcome,tournament
2014-09-03,England,Norway,1469.9853141327792,1490.28774368332,home_win,Friendly
2014-09-03,Germany,Argentina,1664.2316649523493,1583.6636960855924,away_win,Friendly
2014-09-04,Uzbekistan,Jordan,1500.0,1468.1466982508691,home_win,Friendly
2014-09-04,France,Spain,1516.6056037263838,1498.7393274271114,home_win,Friendly
2014-09-04,Belgium,Australia,1562.5492021001282,1425.950320357662,home_win,Friendly
2014-09-05,Japan,Uruguay,1453.5600010880974,1503.0182679103277,away_win,Kirin Challenge Cup
2014-09-05,Brazil,Colombia,1524.3346180805654,1557.994338109262,home_win,Friendly
2014-09-05,Senegal,Egypt,1500.0,1510.0,home_win,African Cup of Nations qualification
2014-09-07,Germany,Scotland,1651.9534238261547,1500.0,home_win,UEFA Euro qualification
2014-09-08,Switzerland,England,1474.087489045411,1480.5690008156057,away_win,UEFA Euro qualification
2014-09-08,Korea Republic,Uruguay,1411.9246530022654,1511.6042827698523,away_win,Friendly
2014-09-08,Uzbekistan,New Zealand,1509.085748405115,1490.0,home_win,Friendly
2014-09-08,Australia,Saudi Arabia,1419.6911601106428,1500.0,home_win,Friendly
2014-09-08,Austria,Sweden,1510.0,1480.28774368332,draw,UEFA Euro qualification
2014-09-09,Czechia,Netherlands,1479.874207353627,1613.7939924073228,home_win,UEFA Euro qualification
2014-09-10,Egypt,Tunisia,1491.99644855419,1499.4412742872291,away_win,African Cup of Nations qualification
2014-10-06,Qatar,Uzbekistan,1521.8533017491309,1518.5369683069478,home_win,Friendly
2014-10-10,Korea Republic,Paraguay,1404.7174534062733,1500.56675634087,home_win,Friendly
2014-10-10,Saudi Arabia,Uruguay,1487.7288312897938,1518.8114823658443,draw,Friendly
2014-10-10,Senegal,Tunisia,1518.00355144581,1516.5663428780344,draw,African Cup of Nations qualification
2014-10-10,Türkiye,Czechia,1499.9917180729458,1503.8042837718272,away_win,UEFA Euro qualification
2014-10-11,Argentina,Brazil,1595.941937211787,1535.300403026709,away_win,Superclásico de las Américas
2014-10-11,DR Congo,Côte d'Ivoire,1500.0,1490.416922127796,away_win,African Cup of Nations qualification
2014-10-11,France,Portugal,1526.0918237500844,1514.4393668801665,home_win,Friendly
2014-10-12,Mexico,Panama,1503.5953990500245,1490.28774368332,home_win,Friendly
2014-10-13,Bosnia and Herzegovina,Belgium,1509.290947773657,1568.8083623471473,draw,UEFA Euro qualification
2014-10-14,Japan,Brazil,1444.9739862285728,1555.824215461141,away_win,Friendly
2014-10-14,Qatar,Australia,1531.7578528985644,1431.962328820849,home_win,Friendly
2014-10-15,Tunisia,Senegal,1516.6387332937722,1517.9311610300722,home_win,African Cup of Nations qualification
2014-10-15,Côte d'Ivoire,DR Congo,1508.3994902753209,1482.017431852475,away_win,African Cup of Nations qualification
2014-11-12,Argentina,Croatia,1575.4181247773552,1452.5442435843158,home_win,Friendly
2014-11-12,Netherlands,Mexico,1589.8639159891227,1513.2125611390882,away_win,Friendly
2014-11-12,Türkiye,Brazil,1482.6837456733992,1562.7377151407702,away_win,Friendly
2014-11-13,Saudi Arabia,Qatar,1488.621082752059,1538.9619772510016,draw,Gulf Cup
2014-11-14,Jordan,Korea Republic,1459.060949845754,1417.4082972231677,away_win,Friendly
2014-11-14,United States,Colombia,1495.7550779243675,1547.0285531631182,away_win,Friendly
2014-11-15,Egypt,Senegal,1474.8713799633847,1500.3660629744797,away_win,African Cup of Nations qualification
2014-11-18,Spain,Germany,1489.253107403411,1662.2530249671647,away_win,Friendly
2014-11-18,Scotland,England,1489.70039885899,1497.7425710993766,away_win,Friendly
2014-11-18,Portugal,Argentina,1504.7746258551806,1582.0219554124142,home_win,Friendly
2014-11-18,Panama,Canada,1480.6705815942564,1500.0,draw,Friendly
2014-11-18,Austria,Brazil,1508.507059653102,1570.4735049553565,away_win,Friendly
2014-11-18,IR Iran,Korea Republic,1443.290439890728,1428.6014461696454,home_win,Friendly
